ensembl_id	gene_name	gene_exon_size	mean_TPM
ENSG00000268895.4	A1BG-AS1	2793	6.686
ENSG00000121410.10	A1BG	4006	9.558
ENSG00000148584.13	A1CF	9603	0.199
ENSG00000175899.13	A2M	6384	51.257
ENSG00000166535.18	A2ML1	7303	0.287
ENSG00000256069.6	A2MP1	4657	6.477
ENSG00000128274.14	A4GALT	2943	0.001
ENSG00000118017.3	A4GNT	1771	0.431
ENSG00000265544.1	AA06	632	0.024
ENSG00000094914.11	AAAS	4138	32.885
ENSG00000081760.15	AACS	16094	3.058
ENSG00000250420.7	AACSP1	3380	0.139
ENSG00000114771.12	AADAC	1668	0.341
ENSG00000197953.5	AADACL2	5071	0.172
ENSG00000188984.10	AADACL3	4049	0.068
ENSG00000204518.2	AADACL4	1575	0.48
ENSG00000109576.12	AADAT	2981	0.365
ENSG00000103591.11	AAGAB	3833	54.804
ENSG00000115977.17	AAK1	23608	38.405
ENSG00000127837.8	AAMP	3140	50.533
ENSG00000129673.8	AANAT	2190	1.111
ENSG00000090861.14	AARS	4498	34.245
ENSG00000124608.4	AARS2	4298	15.948
ENSG00000266967.5	AARSD1	3704	15.587
ENSG00000157426.12	AASDH	4654	13.634
ENSG00000149313.9	AASDHPPT	6183	11.097
ENSG00000008311.13	AASS	4591	3.402
ENSG00000275700.3	AATF	4714	78.551
ENSG00000225180.5	AATK-AS1	1803	0.275
ENSG00000181409.10	AATK	6225	0.107
ENSG00000183044.10	ABAT	9744	2.371
ENSG00000165029.14	ABCA1	11350	0
ENSG00000154263.16	ABCA10	8405	0.179
ENSG00000251595.6	ABCA11P	2790	58.949
ENSG00000144452.13	ABCA12	9416	0.645
ENSG00000179869.13	ABCA13	19074	0.184
ENSG00000238098.7	ABCA17P	6574	0.78
ENSG00000107331.15	ABCA2	11514	4.672
ENSG00000167972.12	ABCA3	7804	1.131
ENSG00000198691.10	ABCA4	8201	0.021
ENSG00000154265.14	ABCA5	13158	8.311
ENSG00000154262.11	ABCA6	14151	2.234
ENSG00000064687.11	ABCA7	8367	35.155
ENSG00000141338.12	ABCA8	11243	0.309
ENSG00000154258.15	ABCA9	9139	2.602
ENSG00000085563.13	ABCB1	5806	11.049
ENSG00000135776.4	ABCB10	4256	38.418
ENSG00000073734.8	ABCB11	5151	0.367
ENSG00000005471.14	ABCB4	7494	2.406
ENSG00000004846.15	ABCB5	9257	0.238
ENSG00000115657.11	ABCB6	5205	15.161
ENSG00000131269.14	ABCB7	2970	45.277
ENSG00000197150.11	ABCB8	9336	3.559
ENSG00000150967.16	ABCB9	13291	0.863
ENSG00000103222.17	ABCC1	7575	5.556
ENSG00000124574.13	ABCC10	8083	22.109
ENSG00000121270.14	ABCC11	7245	0.695
ENSG00000140798.14	ABCC12	7456	0.334
ENSG00000243064.7	ABCC13	10722	0.152
ENSG00000023839.9	ABCC2	6232	2.35
ENSG00000108846.14	ABCC3	9614	1.304
ENSG00000125257.12	ABCC4	7819	4.11
ENSG00000114770.15	ABCC5	11441	5.74
ENSG00000091262.13	ABCC6	7559	1.943
ENSG00000256340.7	ABCC6P1	3431	0.177
ENSG00000255277.3	ABCC6P2	1077	0.171
ENSG00000006071.10	ABCC8	6778	0.498
ENSG00000069431.9	ABCC9	11421	0.374
ENSG00000101986.11	ABCD1	4233	5.598
ENSG00000173208.3	ABCD2	6238	30.588
ENSG00000117528.10	ABCD3	7519	7.505
ENSG00000119688.19	ABCD4	8769	25.179
ENSG00000164163.9	ABCE1	6265	33.248
ENSG00000204574.11	ABCF1	4523	79.974
ENSG00000033050.6	ABCF2	4448	28.729
ENSG00000161204.10	ABCF3	5207	28.883
ENSG00000160179.17	ABCG1	6121	4.088
ENSG00000118777.9	ABCG2	4848	1.011
ENSG00000172350.8	ABCG4	6271	0
ENSG00000138075.10	ABCG5	3720	0.325
ENSG00000143921.6	ABCG8	2665	0.454
ENSG00000143994.12	ABHD1	4630	3.056
ENSG00000144827.7	ABHD10	3021	27.264
ENSG00000225969.1	ABHD11-AS1	558	2.147
ENSG00000106077.17	ABHD11	2289	16.69
ENSG00000100997.17	ABHD12	3429	72.453
ENSG00000131969.13	ABHD12B	4444	0.642
ENSG00000139826.5	ABHD13	5338	10.995
ENSG00000114786.14	ABHD14A-ACY1	2164	32.309
ENSG00000248487.7	ABHD14A	2378	18.924
ENSG00000114779.18	ABHD14B	3161	72.545
ENSG00000168792.4	ABHD15	3592	16.85
ENSG00000204427.10	ABHD16A	4153	38.926
ENSG00000183260.6	ABHD16B	2094	2.362
ENSG00000140526.15	ABHD2	10345	19.881
ENSG00000158201.8	ABHD3	4366	7.701
ENSG00000100439.9	ABHD4	4070	12.536
ENSG00000011198.6	ABHD5	3172	16.275
ENSG00000163686.12	ABHD6	3589	7.204
ENSG00000127220.5	ABHD8	2210	7.501
ENSG00000136754.15	ABI1	4218	143.148
ENSG00000138443.14	ABI2	23331	4.758
ENSG00000108798.7	ABI3	2456	63.943
ENSG00000154175.15	ABI3BP	10978	0.367
ENSG00000097007.16	ABL1	6276	12.579
ENSG00000143322.18	ABL2	13257	7.315
ENSG00000099204.17	ABLIM1	9871	42.394
ENSG00000163995.17	ABLIM2	6049	6.455
ENSG00000173210.18	ABLIM3	7225	0.514
ENSG00000175164.12	ABO	6354	0.449
ENSG00000159842.13	ABR	11709	16.332
ENSG00000174429.3	ABRA	2755	0.16
ENSG00000146109.4	ABT1	2949	27.426
ENSG00000114626.16	ABTB1	6149	36.736
ENSG00000166016.5	ABTB2	4973	5.564
ENSG00000060971.16	ACAA1	7106	38.995
ENSG00000167315.16	ACAA2	5072	34.499
ENSG00000278540.3	ACACA	13008	3.826
ENSG00000076555.14	ACACB	14505	4.353
ENSG00000111271.13	ACAD10	8931	10.492
ENSG00000240303.6	ACAD11	5674	34.861
ENSG00000151498.10	ACAD8	7174	8.875
ENSG00000177646.16	ACAD9	4327	15.787
ENSG00000115361.6	ACADL	4383	0.071
ENSG00000117054.12	ACADM	4783	18.916
ENSG00000122971.7	ACADS	2648	11.812
ENSG00000196177.11	ACADSB	6255	15.76
ENSG00000072778.18	ACADVL	4865	79.543
ENSG00000157766.14	ACAN	10908	0.929
ENSG00000072818.10	ACAP1	7421	179.831
ENSG00000114331.11	ACAP2	11118	46.878
ENSG00000131584.17	ACAP3	8809	13.463
ENSG00000075239.12	ACAT1	5584	22.228
ENSG00000120437.8	ACAT2	4299	31.436
ENSG00000182827.8	ACBD3	3578	49.978
ENSG00000181513.13	ACBD4	3776	16.561
ENSG00000107897.17	ACBD5	4371	50.063
ENSG00000176244.6	ACBD7	1498	2.482
ENSG00000110455.12	ACCS	5826	16.725
ENSG00000205126.2	ACCSL	1867	0.19
ENSG00000102977.12	ACD	3223	15.365
ENSG00000159640.13	ACE	8365	5.774
ENSG00000130234.9	ACE2	3926	0.175
ENSG00000167769.4	ACER1	1445	8.026
ENSG00000177076.5	ACER2	2238	5.779
ENSG00000078124.10	ACER3	8442	9.462
ENSG00000087085.12	ACHE	3731	0.144
ENSG00000100813.13	ACIN1	9110	77.876
ENSG00000131473.15	ACLY	5217	65.235
ENSG00000153086.12	ACMSD	2785	7.773
ENSG00000196636.7	ACN9	2303	16.535
ENSG00000122729.17	ACO1	7555	7.288
ENSG00000100412.14	ACO2	4041	61.479
ENSG00000184227.6	ACOT1	1713	23.492
ENSG00000162390.16	ACOT11	9768	0.472
ENSG00000172497.7	ACOT12	2444	1.187
ENSG00000112304.9	ACOT13	4394	26.848
ENSG00000119673.13	ACOT2	2393	11.912
ENSG00000177465.4	ACOT4	2362	2.136
ENSG00000205669.2	ACOT6	1183	0.018
ENSG00000097021.18	ACOT7	4124	15.54
ENSG00000101473.15	ACOT8	4213	18.17
ENSG00000123130.15	ACOT9	5046	20.403
ENSG00000161533.10	ACOX1	8472	9.313
ENSG00000168306.11	ACOX2	3859	0.702
ENSG00000087008.14	ACOX3	3846	18.293
ENSG00000153093.17	ACOXL	5747	2.226
ENSG00000143727.14	ACP1	4160	55.092
ENSG00000134575.8	ACP2	3484	17.186
ENSG00000102575.9	ACP5	2814	29.945
ENSG00000162836.10	ACP6	11960	2.36
ENSG00000014257.14	ACPP	4193	2.05
ENSG00000142513.5	ACPT	1347	3.397
ENSG00000100312.9	ACR	2059	0.08
ENSG00000111644.6	ACRBP	2843	1.248
ENSG00000147174.10	ACRC	3621	13.701
ENSG00000134940.12	ACRV1	2212	1.868
ENSG00000103740.8	ACSBG1	8230	0.6
ENSG00000130377.12	ACSBG2	3447	2.732
ENSG00000167107.11	ACSF2	5797	10.569
ENSG00000176715.14	ACSF3	11629	11.147
ENSG00000151726.12	ACSL1	6284	9.296
ENSG00000123983.12	ACSL3	7240	24.624
ENSG00000068366.18	ACSL4	6415	41.376
ENSG00000197142.9	ACSL5	4236	80.133
ENSG00000164398.11	ACSL6	14653	4.509
ENSG00000166743.8	ACSM1	2871	4.14
ENSG00000183747.10	ACSM2A	8193	0.026
ENSG00000066813.13	ACSM2B	8158	0.1
ENSG00000005187.10	ACSM3	7822	1.961
ENSG00000215009.5	ACSM4	2477	0.621
ENSG00000183549.9	ACSM5	3963	0.116
ENSG00000154930.13	ACSS1	8691	36.885
ENSG00000131069.18	ACSS2	5385	8.808
ENSG00000111058.6	ACSS3	14301	0.416
ENSG00000143632.13	ACTA1	1495	0.486
ENSG00000107796.11	ACTA2	3027	17.452
ENSG00000075624.12	ACTB	3256	1890.695
ENSG00000169067.3	ACTBL2	2794	0.01
ENSG00000159251.6	ACTC1	4639	0.032
ENSG00000184009.8	ACTG1	2976	1057.988
ENSG00000163017.12	ACTG2	3811	0.547
ENSG00000182584.4	ACTL10	2028	2.279
ENSG00000136518.15	ACTL6A	3675	26.644
ENSG00000077080.8	ACTL6B	2389	0.523
ENSG00000187003.6	ACTL7A	1494	0.058
ENSG00000148156.7	ACTL7B	2379	0.069
ENSG00000117148.7	ACTL8	1864	1.239
ENSG00000181786.4	ACTL9	1426	0.002
ENSG00000072110.12	ACTN1	10626	0.75
ENSG00000077522.11	ACTN2	5530	1.245
ENSG00000248746.4	ACTN3	3517	1.473
ENSG00000130402.10	ACTN4	6098	84.503
ENSG00000131966.12	ACTR10	4039	35.743
ENSG00000138107.10	ACTR1A	4327	63.706
ENSG00000115073.7	ACTR1B	2892	63.064
ENSG00000138071.12	ACTR2	4347	289.991
ENSG00000115091.10	ACTR3	12049	87.58
ENSG00000133627.16	ACTR3B	6024	6.551
ENSG00000227264.3	ACTR3BP5	1479	0.086
ENSG00000106526.9	ACTR3C	6460	4.033
